,precipitation,temperature,max temperature,wind speed,relative humudity
Apr-36,0.006617285186,27.67572865,30.88539795,2.638260919,80.88971308
May-36,0.008891316908,27.48228936,30.62610208,2.761378801,82.5971469
Jun-36,0.008756995591,27.5989178,30.77997735,3.406486494,82.9723318
Jul-36,0.0101158465,27.39963682,30.59942554,4.009498662,82.65081621
Aug-36,0.007192868262,27.39155039,30.56697886,4.045486147,81.76491097
Sep-36,0.006333959069,27.36610536,30.56962578,3.646530771,81.04448777
Oct-36,0.01012376709,26.78857006,29.83224604,3.170213731,83.73076993
Nov-36,0.007284775265,26.60381847,29.80099383,2.585599264,82.16393995
Dec-36,0.006753190979,26.74660968,29.84549068,2.281378699,82.39828987
Jan-37,0.007820980863,26.83395436,29.94815279,2.662963612,82.2752109
Feb-37,0.006221798421,27.11070268,30.36380851,2.631384626,80.63701979
Mar-37,0.005803078552,27.39445518,30.55364491,2.314211381,81.12569703
Apr-37,0.009288312852,27.28922666,30.47640862,2.974370554,82.34161677
May-37,0.005959198464,27.58804227,30.97591649,3.312872855,79.49549825
Jun-37,0.006448695842,27.5896348,30.90264996,3.363755958,81.29635872
Jul-37,0.006810114084,27.26916152,30.47134603,3.755699963,81.35028212
Aug-37,0.002897334766,27.7035719,31.25910115,4.19983082,76.31917832
Sep-37,0.003520602379,27.4161178,30.92332095,3.869381969,77.75392697
Oct-37,0.004950580563,26.82314037,30.16627048,3.935963521,79.86798454
Nov-37,0.008503144886,26.10207315,29.13539713,3.253192517,84.2825301
Dec-37,0.006130489857,26.00064341,29.101562,2.522579161,82.09352325
Jan-38,0.00518814296,26.57885694,30.01657137,2.908685481,78.78041365
Feb-38,0.005222096239,27.1112774,30.49981058,3.172520254,80.02503434
Mar-38,0.006483366359,27.13344163,30.28452228,2.407612229,81.74518311
Apr-38,0.007292141335,27.41603064,30.6612798,2.632290247,81.36325325
May-38,0.01119524521,27.3919445,30.50997335,3.321663343,83.68297636
Jun-38,0.01236250511,27.28370365,30.3789,4.335767855,83.79932577
Jul-38,0.007003894383,27.21034835,30.3541054,4.284809789,82.8120872
Aug-38,0.004764267014,27.39117065,30.62234376,4.126979322,80.01413083
Sep-38,0.006399547789,27.03686185,30.21213532,3.817129502,81.49858745
Oct-38,0.008507917762,26.39753441,29.44335779,3.008248005,82.98214873
Nov-38,0.007156793114,26.4749502,29.56708878,2.532096907,82.74603589
Dec-38,0.007215457497,26.55330572,29.57354022,2.069602604,82.91505942
Jan-39,0.00762231533,26.80680504,29.74674179,2.462314393,82.95476192
Feb-39,0.009930562962,27.07865432,30.30414192,3.53955114,82.91398215
Mar-39,0.006929795967,27.42960466,30.75815884,3.273733786,80.63372448
Apr-39,0.006847312749,27.36337535,30.67134681,2.798837353,80.59867349
May-39,0.009457060999,27.55212527,30.88895446,4.630932999,81.50584341
Jun-39,0.008834850241,27.32660285,30.65430321,3.994180807,80.98114377
Jul-39,0.006810963697,27.17093145,30.39197611,3.564826195,81.74221121
Aug-39,0.003984962532,27.56730563,31.02516413,4.017136303,77.90259393
Sep-39,0.005301577159,27.13548281,30.48175313,3.885454353,79.60859002
Oct-39,0.008015178264,26.48550338,29.6649416,3.419652849,82.4611665
Nov-39,0.007527016171,26.35052285,29.43418776,2.833849724,83.02908393
